aprtfEtryptDt,total,MB,MK,MS
2021121012,27997,14547.741726373251,4874.719322188104,8574.538951438644
2021121008,117340,60971.96178778574,20430.74491072444,35937.29330148982
2021121008,498,258.7697031729785,86.70965540771067,152.5206414193108
2021121013,43024,22356.0395769362,7491.157056749687,13176.803366314112
2021121004,19035,9890.926305015353,3314.293756397134,5829.779938587512
2021121013,43036,22362.274991470487,7493.24644603662,13180.478562492892
2021121017,9599,4987.812009553054,1671.3373137723188,2939.8506766746273
2021121011,87022,45218.186966905494,15151.902877288752,26651.910155805752
2021121012,44289,23013.356192425792,7711.413510747185,13564.230296827021
2021121009,20809,10812.728420334357,3623.1751393153645,6373.0964403502785
2021121005,78449,40763.50290003412,13659.208347549185,24026.288752416694
2021121008,40993,21300.695667007847,7137.527919936313,12554.776413055839
2021121013,6334,3291.2596383486866,1102.8493119526895,1939.8910496986239
2021121012,14203,7380.132719208461,2472.966336858865,4349.900943932674
2021121010,9978,5184.747185261003,1737.3271920846128,3055.925622654384
2021121010,7545,3920.5168884339814,1313.70351415899,2310.779597407028
2021121002,7726,4014.5677243261684,1345.2184692368928,2366.2138064369383
2021121013,26050,13536.04571818492,4535.715910383259,7978.23837143182
2021121006,9997,5194.6199249402935,1740.635391788923,3061.7446832707833
2021121007,3560,1849.839645172296,619.8521551233936,1090.3081997043103
2021121015,1130,587.1682019788468,196.75082451950414,346.080973501649
2021121010,2187,1136.4042988741044,380.7911975435005,669.804503582395
2021121010,1596,829.3101330603889,277.8887751620607,488.8010917775503
2021121008,1772,920.762879563289,308.5331513704083,542.7039690663028
2021121010,2210,1148.3555100648243,384.795860343455,676.8486295917206
2021121001,54309,28219.927328556805,9456.053565336062,16633.01910610713
2021121015,1162,603.7959740702831,202.32252928465823,355.8814966450585
2021121003,329,170.95428181508018,57.28408961674059,100.76162856817923
2021121016,299,155.3657454793586,52.060616399408616,91.57363812123279
2021121011,337,175.11122483793926,58.67701580802911,103.21175935403161
2021121008,399,207.32753326509723,69.47219379051518,122.20027294438758
2021121006,579,300.8587512794268,100.81303309450699,177.32821562606617
2021121007,699,363.2128966223132,121.70692596383486,214.0801774138519
2021121009,322,167.31695667007847,56.065279199363125,98.6177641305584
2021121006,431,223.95530535653361,75.04389855566927,132.0007960877971
2021121009,556,288.9075400887069,96.80837029455247,170.28408961674057
2021121013,200,103.92357557147731,34.82315478221312,61.25326964630956
2021121010,302,156.92459911293074,52.582963721141816,92.49243716592744
2021121015,299,155.3657454793586,52.060616399408616,91.57363812123279
2021121008,6402,3326.593654042989,1114.689184578642,1960.717161378369
2021121008,1691,878.6738314568406,294.4297736836119,517.8963948595473
2021121012,164,85.21733196861139,28.55498692141476,50.22768110997384
2021121007,2496,1296.966223132037,434.59297168201977,764.4408051859433
2021121009,507,263.446264073695,88.27669737291026,155.27703855339473
2021121007,4401,2286.838280450358,766.2835209825997,1347.8781985670419
2021121005,1855,963.8911634254521,322.98476060502674,568.1240759695212
2021121006,2041,1060.5400887069259,355.3702945524849,625.089616740589
2021121006,550,285.7898328215626,95.76367565108609,168.4464915273513
2021121008,1071,556.510747185261,186.47799385875126,328.01125895598767
2021121007,1036,538.3241214602525,180.383941771864,317.2919367678835
2021121001,0,0.0,0.0,0.0
2021121002,0,0.0,0.0,0.0
2021121003,0,0.0,0.0,0.0
2021121004,0,0.0,0.0,0.0
2021121005,0,0.0,0.0,0.0
2021121006,0,0.0,0.0,0.0
2021121007,0,0.0,0.0,0.0
2021121008,0,0.0,0.0,0.0
2021121009,0,0.0,0.0,0.0
2021121010,0,0.0,0.0,0.0
2021121011,0,0.0,0.0,0.0
2021121012,0,0.0,0.0,0.0
2021121013,0,0.0,0.0,0.0
2021121014,0,0.0,0.0,0.0
2021121015,0,0.0,0.0,0.0
2021121016,0,0.0,0.0,0.0
2021121017,0,0.0,0.0,0.0
2021121018,0,0.0,0.0,0.0
2021121019,0,0.0,0.0,0.0
2021121020,0,0.0,0.0,0.0
2021121021,0,0.0,0.0,0.0
2021121022,0,0.0,0.0,0.0
2021121023,0,0.0,0.0,0.0
2021121024,0,0.0,0.0,0.0
2021121010,51,26.500511770726714,8.879904469464346,15.619583759808938
2021121013,51,26.500511770726714,8.879904469464346,15.619583759808938
2021121015,51,26.500511770726714,8.879904469464346,15.619583759808938
2021121010,51,26.500511770726714,8.879904469464346,15.619583759808938
2021121008,149,77.4230638007506,25.943250312748777,45.63368588650062
2021121013,104,54.040259297168205,18.108040486750824,31.85170021608097
2021121013,104,54.040259297168205,18.108040486750824,31.85170021608097
2021121005,1668,866.7226202661208,290.42511088365745,510.8522688502217
2021121010,96,49.88331627430911,16.7151142954623,29.40156943022859
2021121006,143,74.30535653360627,24.898555669282384,43.79608779711133
2021121015,101,52.48140566359604,17.585693165017627,30.932901171386327
2021121008,24,12.470829068577277,4.178778573865575,7.350392357557148
2021121008,24,12.470829068577277,4.178778573865575,7.350392357557148
2021121008,62,32.21630842715797,10.795177982486068,18.988513590355964
2021121010,112,58.197202320027294,19.500966678039347,34.30183100193335
2021121010,112,58.197202320027294,19.500966678039347,34.30183100193335
2021121014,399,207.32753326509723,69.47219379051518,122.20027294438758
2021121012,214,111.19822586148072,37.26077561696804,65.54099852155123
2021121009,214,111.19822586148072,37.26077561696804,65.54099852155123
2021121014,454,235.9065165472535,79.04856135562379,139.0449220971227
2021121002,314,163.1600136472194,54.6723530080746,96.167633344706
2021121002,268,139.2575912657796,46.66302740816558,82.07938132605481
2021121016,133,69.1091777550324,23.157397930171726,40.733424314795855
2021121014,133,69.1091777550324,23.157397930171726,40.733424314795855
2021121013,62,32.21630842715797,10.795177982486068,18.988513590355964
2021121001,149,77.4230638007506,25.943250312748777,45.63368588650062
2021121008,743,386.07608324803823,129.36802001592176,227.55589673604
2021121009,226,117.43364039576936,39.350164903900826,69.21619470032981
2021121010,40,20.784715114295462,6.964630956442624,12.250653929261912
2021121012,67,34.8143978164449,11.665756852041396,20.519845331513704
2021121010,67,34.8143978164449,11.665756852041396,20.519845331513704
2021121005,113,58.71682019788468,19.675082451950413,34.608097350164904
2021121012,9924,5156.687819856704,1727.9249402934151,3039.38723984988
