dataTime,total,MB,MK,MS
2021120801,3035.0,1577.0402592971682,528.4413738200842,929.5183668827476
2021120802,2651.0,1377.5069941999316,461.58091663823495,811.9120891618331
2021120803,17347.0,9013.811327192083,3020.386330035255,5312.80234277266
2021120804,497.0,258.2500852951211,86.53553963379963,152.21437507107925
2021120805,1651.0,857.8891163425453,287.4651427271693,505.64574093028534
2021120806,10255.0,5328.6813374275,1785.5572614579776,3140.7614011145233
2021120807,34092.0,17714.812691914023,5935.9549641760495,10441.232343909927
2021120808,24271.0,12611.645513476631,4225.963948595474,7433.390537927897
2021120809,119410.0,62047.57079495053,20791.164562720343,36571.26464232912
2021120810,28236.0,14671.930399181167,4916.332992152849,8647.736608665984
2021120811,10411.0,5409.741726373252,1812.7193221881048,3188.538951438644
2021120812,58672.0,30487.020129648583,10215.720686910045,17969.259183441372
2021120813,120252.03,62485.104636642776,20937.77526782668,36829.15009553052
2021120814,91821.0,47711.833162743096,15987.484476287958,28121.68236096895
2021120815,20111.0,10450.0351415899,3501.6423291254405,6159.3225292846555
2021120816,54761.0,28454.794609348344,9534.753895143862,16771.451495507787
2021120817,92667.0,48151.42988741043,16134.786421016717,28380.783691572837
2021120818,124722.0,64807.78096212898,21716.067553735928,38198.15148413511
2021120819,48096.0,24991.541453428857,8374.272262026612,14730.18628454452
2021120820,2143.0,1113.5411122483797,373.13010349141365,656.3287842602069
2021120821,30804.0,16006.309109518936,5363.462299556465,9434.228590924598
2021120822,4883.0,2537.294097577619,850.2073240077333,1495.4985784146481
2021120823,50335.0,26154.965881951543,8764.117479813489,15415.916638234961
2021120824,5614.0,2917.134766291369,977.4859547367224,1719.3792789719091
2021120901,66337.0,34469.891163425455,11550.31809393836,20316.790742636185
2021120902,699.0,363.21289662231317,121.70692596383486,214.08017741385189
2021120903,101225.0,52598.319686113944,17624.869214147617,31001.811099738443
2021120904,1268.0,658.8754691231662,220.77880131923118,388.34572955760257
2021120905,48848.0,25382.29409757762,8505.207324007733,14960.498578414648
2021120906,169998.0,88334.0,29599.333333333325,52064.66666666666
2021120907,29162.0,15153.096554077107,5077.5641987944955,8931.339247128397
2021120908,93007.0,48328.099965881964,16193.985784146476,28484.914249971564
2021120909,27862.0,14477.5933128625,4851.21369271011,8533.192994427383
2021120910,88116.0,45786.648925281486,15342.385533947458,26986.965540771063
2021120911,56629.0,29425.440805185943,9860.002160809736,17343.557034004323
2021120912,9055.0,4705.139883998636,1576.618332764699,2773.241783236665
2021120913,14461.0,7514.194131695666,2517.8882065279204,4428.9176617764115
2021120914,84295.0,43801.1890139884,14677.089161833277,25816.72182417832
2021120915,5798.0,3012.744455817128,1009.5232571363587,1775.7322870465139
2021120916,8272.0,4298.279085636302,1440.2856817923346,2533.4352325713635
2021120917,44231.0,22983.218355510067,7701.314795860344,13546.466848629592
2021120918,143927.0,74787.04230638006,25059.96099169794,44079.996701921984
2021120919,35140.31,18259.533309450697,6118.482271124758,10762.29441942454
2021120920,76138.0,39562.66598430569,13256.826794040713,23318.507221653585
2021120921,6619.0,3439.350733538041,1152.4723075173433,2027.1769589446146
2021120922,43775.0,22746.272603207093,7621.9180029569,13406.809393836003
2021120923,124161.0,64516.27533265098,21618.388604571817,38026.336062777205
2021120924,9541.0,4957.674172637325,1661.2385988854774,2922.087228477197
