dataTime,total,MB,MK,MS
2021121001,54458,28297.35039235755,9481.99681564881,16678.65279199363
2021121002,8308,4316.985329239167,1446.5538496531328,2544.460821107699
2021121003,56070,29134.974411463663,9762.671443193449,17172.354145342884
2021121004,54245,28186.67178437393,9444.910155805754,16613.418059820313
2021121005,82085,42652.83350392358,14292.29330148982,25139.873194586606
2021121006,89755,46638.302627089724,15627.761287387693,27488.936085522575
2021121007,20268,10531.615148413512,3528.978505629478,6207.406345957011
2021121008,181156,94131.89628113274,31542.11713863301,55481.986580234276
2021121009,28164,14634.517911975432,4903.796656431252,8625.685431593314
2021121010,28489,14803.393722279081,4960.384282952347,8725.221994768566
2021121011,89799,46661.165813715445,15635.422381439781,27502.41180484476
2021121012,96858,50329.148413510746,16864.505629477993,29664.345957011254
2021121013,119411,62048.09041282838,20791.33867849426,36571.57090867735
2021121014,1640,852.1733196861139,285.54986921414763,502.2768110997383
2021121015,44621,23185.869327874447,7769.2199476856595,13665.910724439897
2021121016,1729,898.4193108154212,301.04617309223244,529.5345160923462
2021121017,9748,5065.235073353804,1697.2805640850677,2985.4843625611284
2021121018,0,0.0,0.0,0.0
2021121019,0,0.0,0.0,0.0
2021121020,0,0.0,0.0,0.0
2021121021,0,0.0,0.0,0.0
2021121022,0,0.0,0.0,0.0
2021121023,0,0.0,0.0,0.0
2021121024,0,0.0,0.0,0.0
