dataTime,total,MB,MK,MS
2022011801,162506.0,84441.02285909245,28294.85795519163,49770.11918571591
2022011802,73499.0,38191.394404640065,12797.335266689412,22510.270328670536
2022011803,59953.0,31152.6506311839,10438.762993290118,18361.586375525985
2022011804,90145.0,46840.95359945412,15695.666439213008,27608.37996133288
2022011805,6124.0,3182.1398839986355,1066.2849994313658,1875.5751165699985
2022011806,21436.0,11138.52882975094,3732.3457295576027,6565.125440691459
2022011807,119257.0,61968.06925963835,20764.524849311954,36524.405891049704
2022011808,57584.51,29921.94088365745,10026.371523939495,17636.19759240305
2022011809,53723.51,27915.696257250092,9354.110520868871,16453.703221881042
2022011810,8366.0,4347.123166154895,1456.6525645399752,2562.2242693051285
2022011811,28667.43,14896.10914022518,4991.451760491299,8779.869099283522
2022011812,36017.0,18715.077106789493,6271.12782895485,11030.795064255657
2022011813,20339.0,10568.508017741384,3541.340725577163,6229.15125668145
2022011814,109101.0,56690.83009211872,18996.205049471166,33413.96485841009
2022011815,59236.0,30780.08461276015,10313.921983395883,18141.993403843964
2022011816,2309.0,1199.7976799727053,402.03332196065054,707.1689980666441
2022011817,69165.0,35939.370522006146,12042.717502558855,21182.911975435003
2022011818,115389.0,59958.187308085966,20091.04503582395,35339.767656090065
2022011819,157627.0,81905.80723302628,27445.34709427954,48275.84567269419
2022011820,31518.0,16377.316274309109,5487.780962128966,9652.902763561924
2022011821,337208.0,175219.30535653364,58713.231889002614,103275.46275446376
2022011822,397.0,206.2882975093825,69.12396224269304,121.58774024792449
2022011823,10185.0,5292.308085977483,1773.3691572842029,3119.322756738314
2022011824,75427.0,39193.2176731491,13133.030478789944,23100.75184806096
2022011901,82535.0,42886.6615489594,14370.645399749805,25277.6930512908
2022011902,2014.0,1046.5104060047763,350.66916865688614,616.8204253383373
2022011903,71852.0,37335.583759808935,12510.566587057883,22005.849653133173
2022011904,99949.0,51935.28727396793,17402.6974866371,30611.015239394965
2022011905,699.0,363.21289662231317,121.70692596383486,214.08017741385189
2022011906,9997.0,5194.619924940294,1740.635391788923,3061.744683270784
2022011907,249893.0,129848.87035141588,43510.31308995793,76533.81655862617
2022011908,314958.0,163657.80757420673,54839.155919481396,96461.03650631184
2022011909,5602.0,2910.8993517570802,975.3965654497896,1715.7040827931307
2022011910,4339.0,2254.6219720232,755.4883430001137,1328.8896849766859
2022011911,112745.0,58584.317639031055,19630.682929603092,34529.999431365846
2022011912,55881.0,29036.766632548624,9729.763561924257,17114.469805527122
2022011913,46172.0,23991.79665643125,8039.2735130217225,14140.929830547026
2022011914,35256.0,18319.64790174002,6138.625725008532,10797.72637325145
2022011915,15463.0,8034.851245308771,2692.352211986808,4735.796542704423
2022011916,322.0,167.31695667007847,56.06527919936314,98.61776413055841
2022011917,1434.0,745.1320368474924,249.6820197884681,439.18594336403953
2022011918,49290.0,25611.965199590584,8582.166496076423,15095.868304332993
2022011919,64125.0,33320.49641760491,11165.174002047084,19639.329580348
2022011920,1720.0,893.7427499147052,299.4791311270328,526.7781189582622
2022011921,114095.0,59285.801774138505,19865.73922438304,34943.459001478455
2022011922,97509.0,50667.41965199591,16977.854998294097,29863.725349709995
2022011923,120778.0,62758.408051859435,21029.354941430684,36990.23700670988
2022011924,129636.0,67361.18321392017,22571.6724667349,39703.14431934493
2022012001,48331.0,25113.651654725352,8415.189468895713,14802.158876378935
2022012002,110290.0,57308.65574889117,19203.228704651425,33778.11554645741
2022012003,97778.0,50807.19686113954,17024.69214147618,29946.110997384283
2022012004,90735.0,47147.528147389974,15798.394745820537,27789.077106789497
2022012005,12148.0,6312.317980211531,2115.1584214716254,3720.5235983168413
2022012006,23496.0,12208.941658137155,4091.0242238143983,7196.034118048447
2022012007,27260.0,14164.783350392358,4746.395996815649,8348.820652791994
2022012008,251961.0,130923.44012282495,43870.384510406,77167.17536676902
2022012009,108480.0,56368.147389969294,18888.0791538724,33223.773456158306
2022012010,30123.0,15652.449334698056,5244.88945752303,9225.661207778914
2022012011,94384.0,49043.61378369158,16433.743204822018,28906.643011486412
2022012012,21663.0,11256.482088024562,3771.8700102354137,6634.647901740021
2022012013,67.0,34.814397816444895,11.665756852041394,20.519845331513704
2022012014,0.0,0.0,0.0,0.0
2022012015,9799.0,5091.735585124531,1706.160468554532,3001.1039463209368
2022012016,8448.0,4389.731832139202,1470.9300580006823,2587.3381098601158
2022012017,21283.0,11059.027294438754,3705.706016149209,6518.266689412032
2022012018,5063.0,2630.8253155919488,881.5481633117251,1550.6265210963265
2022012019,147.0,76.38382804503583,25.59501876492665,45.02115319003753
2022012020,0.0,0.0,0.0,0.0
2022012021,0.0,0.0,0.0,0.0
2022012022,0.0,0.0,0.0,0.0
2022012023,0.0,0.0,0.0,0.0
2022012024,0.0,0.0,0.0,0.0
