dataTime,total,MB,MK,MS
2022012101,110168,57245.26236779256,19181.986580234276,33740.751051973166
2022012102,11209,5824.396792903444,1951.6637097691344,3432.9394973274193
2022012103,535,277.9955646537018,93.1519390424201,163.8524963038781
2022012104,144,74.82497441146367,25.07267144319345,44.10235414534289
2022012105,104537,54319.29409757762,18201.540657341066,32016.16524508131
2022012106,10326,5365.574206755375,1797.9194814056636,3162.506311838963
2022012107,109890,57100.808597748204,19133.582395087,33655.609007164785
2022012108,26038,13529.81030365063,4533.6265210963265,7974.563175253042
2022012109,151593,78770.43295803478,26394.73251450017,46427.83452746503
2022012110,0,0.0,0.0,0.0
2022012111,0,0.0,0.0,0.0
2022012112,0,0.0,0.0,0.0
2022012113,0,0.0,0.0,0.0
2022012114,0,0.0,0.0,0.0
2022012115,0,0.0,0.0,0.0
2022012116,0,0.0,0.0,0.0
2022012117,0,0.0,0.0,0.0
2022012118,0,0.0,0.0,0.0
2022012119,0,0.0,0.0,0.0
2022012120,0,0.0,0.0,0.0
2022012121,0,0.0,0.0,0.0
2022012122,0,0.0,0.0,0.0
2022012123,0,0.0,0.0,0.0
2022012124,0,0.0,0.0,0.0
