dataTime,UUU,VVV,VEC,WSD,PTY,REH,RN1,T1H,nx,ny
2022011921,,,,,,,,,95,72
2022011922,,,,,,,,,95,72
2022011923,,,,,,,,,95,72
2022011924,,,,,,,,,95,72
2022012001,,,,,,,,,95,72
2022012002,,,,,,,,,95,72
2022012003,,,,,,,,,95,72
2022012004,,,,,,,,,95,72
2022012005,,,,,,,,,95,72
2022012006,,,,,,,,,95,72
2022012007,,,,,,,,,95,72
2022012008,,,,,,,,,95,72
2022012009,,,,,,,,,95,72
2022012010,,,,,,,,,95,72
2022012011,,,,,,,,,95,72
2022012012,,,,,,,,,95,72
2022012013,,,,,,,,,95,72
2022012014,,,,,,,,,95,72
2022012015,,,,,,,,,95,72
2022012016,,,,,,,,,95,72
