dataTime,UUU,VVV,VEC,WSD,PTY,REH,RN1,T1H,nx,ny
2022011921,2.6,-2.8,317,3.9,0,60,0,3.6,95,74
2022011922,1.2,-2,329,2.4,0,63,0,1.7,95,74
2022011923,3.4,-2.6,309,4.3,0,53,0,2,95,74
2022011924,3.3,-2.3,305,4.1,0,53,0,1.6,95,74
2022012001,2.9,-2.6,313,4,0,53,0,-0.1,95,74
2022012002,2.3,-2.8,322,3.7,0,50,0,-1.3,95,74
2022012003,1.9,-2.4,323,3.2,0,54,0,-1.9,95,74
2022012004,2.3,-2,313,3.1,0,54,0,-2.7,95,74
2022012005,2,-3,327,3.7,0,53,0,-3,95,74
2022012006,1.1,-1.2,318,1.7,0,57,0,-3.7,95,74
2022012007,1.4,-1.8,324,2.4,0,56,0,-3.3,95,74
2022012008,2.4,-2.6,318,3.6,0,51,0,-1.7,95,74
2022012009,3.4,-2.6,309,4.4,0,48,0,-0.9,95,74
2022012010,2.7,-1.6,303,3.2,0,43,0,1.5,95,74
2022012011,2.9,-1.2,295,3.2,0,39,0,3.4,95,74
2022012012,2.8,-2.3,311,3.7,0,33,0,4.6,95,74
2022012013,2.7,-2.6,315,3.8,0,29,0,5.2,95,74
2022012014,1.4,-2,326,2.5,0,27,0,6,95,74
2022012015,1.1,-1.8,329,2.2,0,24,0,5.8,95,74
2022012016,2.3,-2,312,3.1,0,22,0,5.3,95,74
